user_id,calendar_date,week_date,month_date,merge_event_category1_no,merge_event_category1_name,merge_event_category1_status_name,merge_event_category2_no,merge_event_category2_name,merge_event_category2_status_name,merge_event_category3_no,merge_event_category3_name,merge_event_category3_status_name,merge_event_category4_no,merge_event_category4_name,merge_event_category4_status_name,merge_event_category5_no,merge_event_category5_name,merge_event_category5_status_name,merge_code,merge_event_name,dw_create_time,first_ads_date,first_mb_cp_date,first_build_date,first_sa_date,first_ads_build_date,first_mb_yw_date,first_sc_date,corporation_id,corporation_name,dt
1000225,2017/3/7,170306~170312,201703,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/3/11,170306~170312,201703,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/3/12,170306~170312,201703,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/3/17,170313~170319,201703,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/3/20,170320~170326,201703,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/3/26,170320~170326,201703,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/4/21,170417~170423,201704,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/4/25,170424~170430,201704,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/4/30,170424~170430,201704,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/5/4,170501~170507,201705,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/5/5,170501~170507,201705,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
1000225,2017/5/10,170508~170514,201705,SC,SinoClick,活跃,MB_YW,MB_YW,活跃,MB_yw_mau,MB业务mau,活跃,MB_yw_spend1,GCC新口径消耗,活跃,,,,MB_yw_spend,GCC消耗,2025/7/23 10:12,\N,\N,\N,\N,\N,2016/10/28,\N,4776,"SHENZHEN FZONE TECHNOLOGY CO., LTD",20250722
